ticker,best_val_mse_scaled,n_windows,mse_scaled,rmse_scaled,mse,rmse,mape_percent,source_folder
ADANIENT,0.008953531,183,0.011021468,0.104983179,12297.27637,110.8930853,2.69596529,20250904_041243
ADANIPORTS,0.020724273,183,0.051588058,0.227130047,3814.745117,61.76362293,3.917374849,20250904_041258
APOLLOHOSP,0.015510041,183,0.015506029,0.124523207,41320.51172,203.2744738,2.668418646,20250904_041302
ASIANPAINT,0.008169482,183,0.010256935,0.101276527,8006.089355,89.47675316,2.31708169,20250904_041306
AXISBANK,0.042125723,183,0.042125728,0.205245531,1418.378296,37.66136344,2.750119686,20250904_041309
BAJAJ-AUTO,0.073006448,183,0.121670678,0.348813243,285746.9688,534.5530551,6.177652359,20250904_041313
BAJAJFINSV,0.006523019,183,0.009665972,0.098315673,2684.947021,51.81647442,2.696728945,20250904_041317
BAJFINANCE,0.0055102,183,0.005511546,0.074239784,323.8471985,17.99575501,1.985101223,20250904_041320
BHARTIARTL,0.02728274,183,0.02728107,0.165169822,1881.130615,43.37200267,3.010518551,20250904_041324
BPCL,0.044269262,183,0.058181386,0.241208181,114.3673401,10.69426669,2.705430746,20250904_041327
BRITANNIA,0.012787051,183,0.013342652,0.1155104,17250.12891,131.3397461,1.823810697,20250904_041332
CIPLA,0.023591754,183,0.023586284,0.153578268,1557.533447,39.46559828,2.142082453,20250904_041335
COALINDIA,0.037651901,183,0.07956665,0.282075611,372.1600037,19.29144898,3.493965149,20250904_041338
DIVISLAB,0.014306923,183,0.029416142,0.171511347,58292.85938,241.4391422,3.82951951,20250904_041342
DRREDDY,0.013938848,183,0.013938848,0.118062898,718.1907349,26.79908086,1.666566133,20250904_041346
EICHERMOT,0.029055215,183,0.052745808,0.229664555,25940.56836,161.0607598,3.071917772,20250904_041349
GRASIM,0.01200537,183,0.012005369,0.109569016,3176.201172,56.35779602,1.714062333,20250904_041353
HCLTECH,0.038638719,183,0.113322772,0.336634478,12821.05762,113.2301091,6.474284172,20250904_041358
HDFCBANK,0.009765436,183,0.010822794,0.10403266,395.1316528,19.87791872,1.877670169,20250904_041402
HDFCLIFE,0.01943155,112,0.019776881,0.140630298,196.6454773,14.02303381,1.493150473,20250904_041405
HEROMOTOCO,0.075411505,183,0.115370952,0.339662997,43814.10938,209.3182013,4.023193836,20250904_041408
HINDALCO,0.036981054,183,0.039134581,0.197824621,888.8284912,29.81322678,4.025283813,20250904_041413
HINDUNILVR,0.007528588,183,0.010032121,0.100160477,4333.663086,65.83056346,1.908808231,20250904_041417
ICICIBANK,0.022021675,183,0.024930414,0.157893679,1762.999634,41.98808919,2.993191004,20250904_041420
INDUSINDBK,0.013282912,183,0.013283008,0.115251932,1623.496948,40.29264137,2.143348694,20250904_041423
INFY,0.016398288,183,0.016398288,0.128055802,3467.319092,58.88394596,2.712546349,20250904_041428
ITC,0.038143988,183,0.038153633,0.195329551,219.5556335,14.81740981,2.53824544,20250904_041432
JSWSTEEL,0.005232441,183,0.005232441,0.072335612,317.3138123,17.81330436,1.592374206,20250904_041435
KOTAKBANK,0.005840419,183,0.006644313,0.081512654,1365.2948,36.9498958,1.526841998,20250904_041440
LT,0.068872597,183,0.239441603,0.489327706,100735.3438,317.388317,8.834793091,20250904_041443
LTIM,0.005539986,145,0.005539986,0.074431084,19018.58789,137.9078964,1.720218539,20250904_041447
M&M,0.063872461,183,0.079660676,0.28224223,15689.0957,125.2561204,3.752820969,20250904_041450
MARUTI,0.018912561,183,0.021053711,0.14509897,86716.00781,294.4758187,1.899332523,20250904_041455
NESTLEIND,0.008889799,183,0.010700138,0.103441473,940.1307983,30.66155245,2.077265739,20250904_041458
NTPC,0.044554195,183,0.06791427,0.260603664,260.3874512,16.13652537,3.478386879,20250904_041502
ONGC,0.054110988,183,0.054428048,0.233298196,89.8445282,9.478635355,3.10295701,20250904_041506
POWERGRID,0.020299696,183,0.034365095,0.185378249,103.1074524,10.15418398,2.725363016,20250904_041510
RELIANCE,0.007160164,183,0.00891732,0.09443156,1344.182007,36.6630878,2.100911617,20250904_041514
SBILIFE,0.049381711,115,0.107073769,0.327221284,8568.022461,92.56361305,4.305332661,20250904_041518
SBIN,0.028558283,183,0.028559692,0.168996131,632.5802612,25.15114831,2.658860207,20250904_041522
SUNPHARMA,0.020067652,183,0.020070355,0.141669882,1585.015747,39.81225624,1.987534523,20250904_041525
TATACONSUM,0.007685756,183,0.027462874,0.165719261,2390.739746,48.89519144,3.954550743,20250904_041529
TATAMOTORS,0.031337956,183,0.032720935,0.180889288,1123.899414,33.52460908,2.808259726,20250904_041533
TATASTEEL,0.011640755,183,0.013546605,0.116389882,19.28528023,4.391500908,2.193539858,20250904_041537
TCS,0.007348699,183,0.017332274,0.131652096,16139.67773,127.0420314,2.541483164,20250904_041541
TECHM,0.018901287,183,0.02915274,0.170741734,3310.253418,57.5348018,3.209584236,20250904_041545
TITAN,0.009528749,183,0.009717953,0.09857968,8259.964844,90.88434873,2.096907139,20250904_041549
ULTRACEMCO,0.014766413,183,0.030667143,0.175120367,124734.3906,353.1775625,2.556378126,20250904_041553
WIPRO,0.011961579,183,0.013044367,0.114211937,59.09848785,7.687554088,2.387288094,20250904_041556
