Stock_Symbol,MAE,MSE,RMSE,R_Squared
TATASTEEL,3.5445718214638515,22.61614008879627,4.755642973226257,0.9522782906864227
WIPRO,5.504395024605766,49.06981886907938,7.004985286856738,0.9540370371191442
BPCL,8.901174708271686,148.6022837936381,12.190253639430072,0.9674760892980504
NTPC,10.069497617232612,155.85550092142745,12.48421006397391,0.9785103822716031
HDFCLIFE,14.316111771101804,311.4990466195335,17.649335585781508,0.8991621001055333
POWERGRID,15.661718002918407,354.45668613808067,18.82702010776216,0.917810555400074
ITC,18.2642485374116,395.27131947203986,19.881431524717726,0.6405995520151982
ONGC,17.079111359135933,425.8831908084693,20.636937534636026,0.8636543009408785
COALINDIA,18.119202329710514,509.9696912430407,22.582508524144096,0.9523885958575526
SBIN,18.81609000895372,558.4750419804686,23.632076548210243,0.9602800746988184
AXISBANK,20.039731490419314,695.1954154209611,26.36655865715056,0.942982405890265
HDFCBANK,23.13656538683603,801.7858315789706,28.315822989610783,0.7236987227863134
BAJFINANCE,31.617359187806727,1327.3846979939979,36.43329106729171,0.3808437452036588
DRREDDY,36.65075303005015,1777.0671267762482,42.1552740090282,0.9014432583842561
BAJAJFINSV,32.35871080217956,1867.9136811275268,43.219366968148975,0.8861101358688239
HINDALCO,37.13159651899453,1900.2926350561847,43.59234606047471,0.828911363169321
SBILIFE,32.27808151501999,1923.4652467501994,43.85732831295358,0.9185951081815884
INDUSINDBK,32.49276077940062,2205.9200460738293,46.96722310371169,0.9215699922383314
KOTAKBANK,38.13759579559396,2255.5428225750115,47.49255544372203,0.5721784993834025
ICICIBANK,41.44122300357246,2290.8420548780755,47.862741823657316,0.8805847377953022
TECHM,39.06572626479502,2453.484957036189,49.53266555553203,0.9513383175768991
ADANIPORTS,39.79455354968064,2548.181790034134,50.479518520228915,0.9720621089092075
INFY,43.158407515246104,2902.004213556372,53.870253513013765,0.9446436095603535
NESTLEIND,47.82578536599665,2998.8893550602706,54.762116057182,0.6275273488124689
CIPLA,44.818694152127236,3054.756897653765,55.269855234601124,0.9393688048775081
JSWSTEEL,52.525912031565746,3440.2231932029763,58.65341586986197,0.5808561573735564
TATAMOTORS,50.07369762535183,3673.234286644249,60.607213156886274,0.8983089702981544
BHARTIARTL,53.89778401504763,4617.3273679192835,67.95091881585769,0.9500649843920564
RELIANCE,63.905245668618285,4978.9294426770275,70.56152948085116,0.7569269620821241
HCLTECH,54.912810504023525,5185.565738355917,72.01087236213652,0.9310612759038195
GRASIM,61.092779075851574,6628.803276286731,81.41746296886639,0.9535556239365692
SUNPHARMA,71.49629884504002,6882.56163241415,82.9612055867931,0.9286157627848295
HINDUNILVR,68.15008502634238,6895.785083320069,83.04086393649857,0.7330012927373413
M&M,63.036361165740466,7857.352768665511,88.64171009556117,0.981160112561642
TATACONSUM,80.36615976945907,7987.379621133561,89.37214119138895,0.6569800114215099
LT,76.3577737081409,9730.532468163115,98.64346135534335,0.9649740058702627
TITAN,85.60647970644483,10868.869496310686,104.25387041405554,0.898942273528718
ASIANPAINT,85.14952457419169,12001.990835378407,109.5535980028881,0.8006710910383212
ADANIENT,88.40206944419386,18560.83735906641,136.2381641063414,0.8976341131135935
BRITANNIA,100.62373926457853,19129.493718871065,138.30941297999593,0.9269411562730147
TCS,108.84814058440391,19142.624553273108,138.35687389238421,0.8897647281886591
HEROMOTOCO,115.33935885176096,24946.52033404252,157.9446749151187,0.9779434619720374
EICHERMOT,135.19061011475173,25839.727709813153,160.74740343101394,0.9367979038466292
DIVISLAB,155.82532386691685,45751.54457623991,213.89610696840631,0.9426815768741648
LTIM,209.26664270979612,71149.60685774437,266.738836425715,0.7437489565055354
APOLLOHOSP,267.9897359447171,105667.03188380027,325.0646580048349,0.8624423538431285
ULTRACEMCO,407.86619515011546,234693.386958076,484.4516353136565,0.883801926416159
BAJAJ-AUTO,416.97131432231527,242063.41271623046,491.99940316653885,0.9570174909727978
MARUTI,491.7637553226039,330012.30462984234,574.466974359573,0.8117247285550826
